" Select Shipping Method"," Seleccione un método de envío"
"<br/>Trace confirmation request:<br/>%s","<br/>Localizar petición de confirmación:<br/>%s"
"Access Key","Clave de acceso"
"Access Key ID","ID de clave de acceso"
"Amazon Simple Pay","Amazon Simple Pay"
"Amazon Simple Pay notification error","Error de notificación de pago Amazon Simple Pay"
"Amazon Simple Pay service capture confirmation error: confirmation request amount is not equal to the amount of order.","Error de servicio de captura de confirmación de Amazon Simple pay: la cantidad de la solicitud de confirmación no es igual a la cantidad del pedido."
"Amazon Simple Pay service capture confirmation error: the amount in the existing invoice does not match the amount in the confirmation request.","Error de servicio de captura de confirmación de Amazon Simple pay: la cantidad en la factura existente no coincide con la cantidad de la solicitud de confirmación."
"Amazon Simple Pay service capture confirmation error: the existing transaction ID does not match the transaction ID in the confirmation request.","Error de servicio de captura de confirmación de Amazon Simple pay: el identificador de transacción existente no coincide con el identificador de transacción en la solicitud de confirmación."
"Amazon Simple Pay service capture confirmation. The invoice was captured automatically.","Error de servicio de captura de confirmación de Amazon Simple pay. La factura fue capturada automáticamente."
"Amazon Simple Pay service confirmation error: order states sequence violation.","Error de servicio de confirmación de Amazon Simple pay: el pedido declara una secuencia de violación."
"Amazon Simple Pay service confirmation error: the order currency does not match the currency of the IPN request.","Error de confirmación de servicio de Amazon Simple Pay: la moneda del pedido no coincide con la moneda de la solicitud IPN."
"Amazon Simple Pay service confirmation error: the order specified in the IPN request cannot be found.","Error de confirmación de servicio de Amazon Simple Pay: no se puede encontrar el pedido especificado en la solicitud IPN."
"Amazon Simple Pay service confirmation error: the payment method in the order is not Amazon Simple Pay.","Error de confirmación de servicio de Amazon Simple Pay: el método de pago en el pedido no es Amazon Simple Pay."
"Amazon Simple Pay service confirmed capture for invoice %s.","El servicio de Amazon Simple Pay confirma la captura de factura %s."
"Amazon Simple Pay service confirmed refund for credit memo %s.","Servicio de Amazon Simple Pay confirma el reembolso de la nota de crédito %s."
"Amazon Simple Pay service has confirmed amount authorization.","Servicio de Amazon Simple Pay ha confirmado la autorización de la cantidad."
"Amazon Simple Pay service has confirmed cancelation.","Servicio de Amazon Simple Pay ha confirmado la cancelación."
"Amazon Simple Pay service has confirmed capture for invoice %s. The invoice was automatically captured.","Servicio de Amazon Simple Pay ha confirmado la captura de factura %s. La factura se capturó automáticamente."
"Amazon Simple Pay service has confirmed capture initiation.","Servicio de Amazon Simple Pay ha confirmado la captura de iniciación."
"Amazon Simple Pay service has confirmed capture.","Servicio de Amazon Simple Pay ha confirmado la captura."
"Amazon Simple Pay service has confirmed payment capture. Invoice %s was automatically created after confirmation.","Servicio de Amazon Simple Pay ha confirmado la captura de pago. La factura %s se creó automáticamente después de la confirmación."
"Amazon Simple Pay service has confirmed payment capture. Invoice was created automatically.","Servicio de Amazon Simple Pay ha confirmado la captura de pago. La factura se creó automáticamente."
"Amazon Simple Pay service has confirmed payment refund. Credit memo %s was automatically created after confirmation.","Servicio de Amazon Simple Pay ha confirmado el reembolso del pago. La Nota de crédito se creó %s automáticamente después de la confirmación."
"Amazon Simple Pay service has confirmed payment refund. Credit memo was created automatically.","Servicio de Amazon Simple Pay ha confirmado el reembolso del pago. La Nota de crédito se creó automáticamente."
"Amazon Simple Pay service has confirmed payment refund. The credit memo was created automatically.","Servicio de Amazon Simple Pay ha confirmado el reembolso del pago. La Nota de crédito se creó automáticamente."
"Amazon Simple Pay service has confirmed refund.","Servicio de Amazon Simple Pay ha confirmado el reembolso del pago."
"Amazon Simple Pay service has confirmed refund. The credit memo was processed automatically.","Servicio de Amazon Simple Pay ha confirmado el reembolso del pago. La Nota de crédito se procesó automáticamente."
"Amazon Simple Pay service has confirmed refunded credit memo %s. The credit memo was processed automatically.","Servicio de Amazon Simple Pay ha confirmado el reembolso del pago de la Nota de crédito %s. La Nota de Crédito se procesó automáticamente."
"Amazon Simple Pay service is not available. Payment was not processed.","Servicio de Amazon Simple Pay no está disponible. El pago no se ha procesado."
"Amazon Simple Pay service payment confirmation has failed.","La confirmación de pago de servicio de Amazon Simple Pay ha fallado."
"Amazon Simple Pay service refund confirmation error: the amount in the existing creditmemo does not match the amount in the confirmation request.","Error de confirmación de reembolso del servicio Amazon Simple Pay: la cantidad de la Nota de Crédito existente no coincide con la cantidad en la solicitud de confirmación."
"Amazon Simple Pay service refund confirmation error: the confirmation request amount does not match the order amount.","Error de confirmación de reembolso del servicio Amazon Simple Pay: la cantidad de la solicitud de confirmación no coincide con la cantidad del pedido."
