--Select an option--,--Wybierz opcj?--
A label with this name already exist! You must choose another name.,Etykieta o tej nazwie ju? istnieje! Musisz wybra? inn? nazw?.
Categories,Kategorie
Category Page,Strona kategorii
Choose the categories where to apply the labels.,"Wybierz kategorie, w których chcesz zastosowa? etykiety."
Create Custom Label,Utwórz w?asn? etykiet?
Created Date,Data utworzenia
Custom,Dostosuj
Disabled,Wy??czono
Enable on Product Page,W??cz na stronie produktu
Enable on Category Page,W??cz na stronie kategorii
Enabled,W??czono
General Informations,Ogólne informacje
Label Name,Nazwa etykiety
Label Model,Model etykiety
Labels,Etykiety
Name,Nazwa
New,Nowe
New Label,Nowa etykieta
No Model,Brak modelu
Please disable the other label before activate this one.,Wy??cz drug? etykiet? przed aktywacj? tej.
Position on Product Image,Pozycja na zdj?ciu produktu
Product,Produkt
Product image positions:,Pozycje obrazu produktu:
Product Labels,Etykiety produktu
Product Page,Strona produktu
Promo,Promo
Save And Continue Edit,Zapisz i kontynuuj edycj?
Status,Status
The image extension is invalid. Allowed extensions are: ,Rozszerzenie obrazu jest nieprawid?owe. Dozwolone rozszerzenia to:
The image file is invalid! Please upload another image.,Plik obrazu jest nieprawid?owy! Prze?lij inny obraz.
The image must be smaller than 1 MB.,Obraz musi by? mniejszy ni? 1 MB.
Label was successfully deleted!,Etykieta zosta?a pomy?lnie usuni?ta!
The label was successfully saved!,Etykieta zosta?a pomy?lnie zapisana!
There is another label enabled of type ,Dost?pna jest inna etykieta typu
Type,Typ
Upload a Label Image,Prze?lij obraz etykiety
