"A campaign with %s code already exist.","O campanie cu codul %s există deja."
"Associated Category","Categoria Asociată"
"Back to Homepage Button Text","Text Buton Înapoi la Homepage"
"Be careful! This could affect the shortcode and you must copy it again in the CMS Page content.","Atenție! Acesta poate afecta shortcode-ul și va trebui să îl copiați din nou în conținutul paginii CMS."
"Campaign","Campanie"
"Campaigns","Campanii"
"Campaign Landing Page - General","Campanie - Generalități"
"Campaign Landing Page - Activation","Campanie - Activare"
"Campaign Name","Nume Campanie"
"Category ID","ID Categorie"
"Choose product category that will populate the campaign page.","Alegeți categoria de produse care va popula pagina campaniei."
"Code","Cod"
"Create Campaign","Creare Campanie"
"Disabled","Dezactivat"
"Display Out of Stock Products","Afișați Produsele Fără Stoc"
"e.g. <b>blackfriday</b> or <b>bf2019</b>.","ex: <b>blackfriday</b> sau <b>bf2019</b>."
"Enabled","Activat"
"End Date","Data de Sfârșit"
"Name","Nume"
"New Campaign","Campanie Nouă"
"One Column Campaign","O Coloană Campanie"
"Save And Continue Edit","Salvează și Continuă Editarea"
"Shortcode will be auto-generated after saving the campaign.","Shortcode-ul va fi generat după salvarea campaniei."
"Start Date","Data de Început"
"The campaign was successfully deleted!","Campania a fost ștearsă cu succes!"
"The campaign was successfuly saved!","Campania a fost salvată cu succes!"
"The campaign was successfuly saved but is disabled because you cannot have two active campaigns at the same time!","Campania a fost salvată cu succes însă esta dezactivată deoarece nu pot exista două campanii active în același timp!"
"The layout that you will select will be automatically updated on the selected CMS Page.","Layout-ul selectat va fi actualizat automat și pe Pagina CMS."
"This shortcode must be inserted in CMS Page content.","Acest shortcode trebuie adăugat în conținutul paginii CMS."
"Two Columns Campaign","Două Coloane Campanie"
"Will be autogenerated if empty.","Va fi generat automat dacă nu se completează."
