"A campaign with %s code already exist.","Kampania z kodem %s już istnieje."
"Associated Category","Powiązana kategoria"
"Back to Homepage Button Text","Powrót do strony głównej Tekst przycisku"
"Be careful! This could affect the shortcode and you must copy it again in the CMS Page content.","Bądź ostrożny! Może to wpłynąć na krótki kod i należy go ponownie skopiować w treści strony CMS."
"Campaign","Kampania"
"Campaigns","Kampanie"
"Campaign Landing Page - General","Strona docelowa kampanii - ogólne"
"Campaign Landing Page - Activation","Strona docelowa kampanii - aktywacja"
"Campaign Name","Nazwa kampanii"
"Category ID","ID kategorii"
"Choose product category that will populate the campaign page.","Wybierz kategorię produktu, która zapełni stronę kampanii."
"Code","Kod"
"Create Campaign","Utwórz kampanię"
"Disabled","Wyłączone"
"Display Out of Stock Products","Wyświetl produkty z magazynu"
"e.g. <b>blackfriday</b> or <b>bf2019</b>.","lat. <b>blackfriday</b> lub <b>bf2019</b>."
"Enabled","Włączone"
"End Date","Data końcowa"
"Name","Nazwa"
"New Campaign","Nowa kampania"
"One Column Campaign","Kampania jednokolumnowa"
"Shortcode will be auto-generated after saving the campaign.","Krótki kod zostanie wygenerowany automatycznie po zapisaniu kampanii."
"Start Date","Data rozpoczęcia"
"The campaign was successfully deleted!","Kampania została pomyślnie usunięta!"
"The campaign was successfuly saved!","Kampania została pomyślnie zapisana!"
"The campaign was successfuly saved but is disabled because you cannot have two active campaigns at the same time!","Kampania została pomyślnie zapisana, ale jest wyłączona, ponieważ nie możesz mieć dwóch aktywnych kampanii jednocześnie!"
"The layout that you will select will be automatically updated on the selected CMS Page.","Układ, który wybierzesz, zostanie automatycznie zaktualizowany na wybranej stronie CMS."
"This shortcode must be inserted in CMS Page content.","Ten krótki kod należy wstawić do treści strony CMS."
"Two Columns Campaign","Kampania Dwie kolumny"
"Will be autogenerated if empty.","Zostanie wygenerowany automatycznie, jeśli będzie pusty."
