"Address Fields","Câmpurile pentru Adresă"
"Already registered?","Aveţi deja cont?"
"Already registered? Click here to login.","Aveţi deja cont? Click aici pentru logare."
"Amasty Gift Card","Card Cadou Amasty"
"API key","Cheie API"
"Areas Configuration", "Arie Configurări"
"Available only for Amasty Gift Card Extension","Disponibil numai pentru extensia Amasty Gift Card"
"Available only for magento enterprise version","Disponibil numai pentru versiunea Magento Enterprise"
"Billing","Facturare"
"Button Color","Culoare Buton"
"Checkout","Checkout"
"Checkout as guest","Finalizaţi ca vizitator"
" Customers will see address sections right away, while other sections (shipping, payment) will be loaded a bit later with AJAX.","Clienţii văd secţiunile cu adrese la început, în timp ce alte secţiuni (livrare, plată) vor fi încărcate puţin mai târziu cu AJAX."
"Default Fields Data","Câmpuri Implicite"
"Description","Descriere"
"Discount Codes","Coduri Discount"
"Email Address","Adresa de Email"
"Enable","Activare"
"Express checkout lane","Finalizare Comandă"
"Fast Page Load","Încărcare Rapidă a Paginii"
"Field","Câmp"
"Fields","Câmpuri"
"Fields Configuration", "Configurare Câmpuri"
"Fields, Which Trigger Checkout Refresh","Câmpuri, Care Declanșează Reîmprospătarea Checkout-ului "
"First available","Prima disponibilă"
"Font Family","Font"
"for example: Georgia, 'Times New Roman', Times, serif","exemplu: Georgia, 'Times New Roman', Times, serif"
"Forgot your password?","Aţi uitat parola?"
"General","General"
"Geo IP","Geo IP"
"Geo IP Settings", "Setări Geo IP"
"Gift Card","Cart Cadou"
"Google Autocomplete","Autocompletare Google"
"Heading","Heading"
"HTML allowed","Permite HTML"
"Label","Etichetă"
"Labels and Layout","Etichete și Layout-uri"
"Layout","Layout"
"Log in to your account","Logaţi-vă in cont"
"Log in to your account by adding your details below","Adăugaţi credenţialele dumneavoastră pentru a vă loga."
"Login","Login"
"Manage Single Step Checkout","Gestionare Checkout într-un Singur Pas"
"Merge shopping cart with order review","Uniţi coșul de cumpărături cu pagina comenzii"
"Move checkout to cart page","Mutaţi checkout-ul pe pagina coșului"
"None","Niciuna"
"Password","Parola"
"Payment","Plată"
"Payment Method","Metodă de Plată"
"Payment Methods","Metode de Plată"
"Placement","Plasament"
"Please enter valid Email.","Vă rugăm introduceţi un email valid."
"Please enter your details below to complete your purchase","Vă rugăm introduceţi informaţiile dvs. mai jos pentru a completa comanda"
"Please log in below:","Vă rugăm să vă logaţi mai jos:"
"Required","Obligatoriu"
"Review","Recenzie"
"Sections","Secţiuni"
"Select ""Sign Up for Newsletter"" checkbox","Selectaţi implicit casuţa ""Abonare Newsletter"""
"Select a shipping address from your address book or enter a new address.","Selectaţi o adresă de livrare sau introduceţi o adresă nouă."
"Ship to this address","Livrati la această adresă"
"Ship to same address","Livraţi la aceeași adresă"
"Shipping","Livrare"
"Shipping Methods","Metode Livrare"
"Shopping Cart Settings","Setări Coș de Cumpărături"
"Show Newsletter Subscription","Afișează Abonare Newsletter"
"Show Thumbnail On Review","Afișează Miniatură Pe Pagina Recenzie Comandă"
"Single Step Checkout Configuration","Configurare Checkout într-un Singur Pas"
"Specify checkout block names and choose layout","Specificaţi numele blocului pentru checkout și alegeţi layout-ul"
"Subtotal must exceed minimum order amount","Subtotalul trebuie să depășească suma comenzii"
"Text Color","Culoare Text"
"The fields has been saved.","Câmpurile au fost salvate."
"The minimum password length is","Lungimea minimă a parolei este "
"The onepage checkout is disabled.","Checkout-ul într-un singur pas este dezactivat."
"Theme Color","Culoare Temă"
"Thumbnail Size","Dimensiune Miniatură"
"Title","Titlu"
"To checkout as a guest add your email below","Pentru a finaliza comanda ca vizitator adăugaţi email-ul dvs. mai jos"
"To register an account simply add a password","Pentru a creea un cont introduceţi o parolă"
"Unable to set Payment Method.","Nu s-a putut seta Metoda de Plată."
"Use Default Value","Folosiţi Valoarea Implicită"
"Visual Options","Opţiuni Vizuale"
"You have account created in this store. Please provide the password and you will be logged in automatically. If you forgot password use <a href=""%s"">this link</a>.","Exista deja un cont de client pe adresa introdusa de tine. Pentru a te loga in cont, te rugam sa tastezi si parola. Daca ai uitat parola, <a href=""%s"">click aici</a>."

