"Enable","Activare"
"Debug Mode","Mod Depanare"
"Output the whole response from cloudfront api","Afișează în întregime răspunsul primit de la API"
"AWS Distribution Id","Id AWS de Distribuire"
"Enter your AWS Distribution Id here","Inserați Id-ul AWS de Distribuire"
"AWS Access Key","Cheia AWS de Acces"
"Enter your AWS Access Key here","Inserați Cheia AWS de Acces"
"AWS Secret Key","Cheia AWS Secretă"
"Enter your Secret Key here","Inserați Cheia AWS Secretă"
"Settings","Setări"
"Separate multiple paths using a comma e.g /media/css_secure/*,/media/wysiwyg/image.png,/media/catalog/product/shoe.jpg","Separați căile multiple utilizând virgula ex. /media/css_secure/*,/media/wysiwyg/image.png,/media/catalog/product/shoe.jpg"
"Submit","Trimite"
"Invalidate Skin&CSS","Invalidare Skin&CSS"
"Invalidate Media WYSIWYG","Invalidare Media WYSIWYG"
"Invalidate JS","Invalidare JS"
"Enable WEBP Conversion","Activare Conversie WEBP"
