"The AWB was created on Fan Courier platform.","AWB-ul a fost creat pe platforma Fan Courier."
"Cannot get PDF file(s) from Fan Courier. Error(s): ","Fișierul(ele) PDF nu poate fi preluat de la Fan Courier. Eroare(i): "
"There is no Fan Courier AWB number for this order.","Nu există niciun AWB de la Fan Courier pentru această comandă."
"Shipping Configurations","Configurări Livrare"
"Display on Frontend","Afișare în Frontend"
"Title","Titlu"
"Method Name","Nume Metodă"
"Price","Preț"
"Additional Price per Weight","Preț Adițional pe Greutate"
"This amount will be multiplied by the number of kilograms in cart and added to the shipping price.","Această valoare va fi înmulțită cu numărul de kilograme din coșul de cumpărături și va fi adăugată la prețul transportului."
"Free Shipping Over","Transport Gratuit Peste"
"Displayed Error Message","Mesaj de Eroare Afișat"
"Ship to Applicable Countries","Expediere către Țări Aplicabile"
"Ship to Specific Countries","Expediere către Țări Specifice"
"Sort Order","Ordine Sortare"
"API Configurations","Configurări API"
"Username","Nume Utilizator"
"Password","Parolă"
"Additional Configurations","Configurări Adiționale"
"Open Package","Deschidere Colet"
"Insurance","Asigurare"
"Cash on Delivery","Ramburs"
"Payer","Plătitor"
"Service","Serviciu"
"Bank Account","Cont Bancar"
"Cash","Numerar"
"Sender","Expeditor"
"Recipient","Destinatar"
"Cannot retrieve order data.","Datele comenzii nu pot fi preluate."
"Cannot retrieve order data. Check exception logs for more info.","Datele comenzii nu pot fi preluate. Verificați logurile pentru mai multe informații."
"Print Fan Courier AWB","Printare AWB Fan Courier"
"Fan Courier Settings","Setări Fan Courier"
"Delivery Type","Tipul Livrării"
"Parcel","Colet"
"Envelope","Plic"
"Observations","Observații"
"Order Value","Valoare Comandă"
"Please change order amount if you change items quantity.","Vă rugăm schimbați valoarea comenzii dacă schimbați cantitatea articolelor."
"This value will be ignored if you don't change items quantity.","Această valoare va fi ignorată dacă nu schimbați cantitatea articolelor."
"Number of Parcels/Envelopes","Număr Colete/Plicuri"
"Calculates Price Dynamically","Calculează Prețul Dinamic"
"If API call is not working the fixed price is displayed.","Dacă API-ul nu funcționează, prețul fix va fi afișat."
"Use Order Amount in Price Calculation","Folosiți Valoarea Comenzii la Calcularea Prețului"
"Send order amount to API for additional shipping cost if platform allows it.","Trimiteți valoarea comenzii prin API pentru costuri adiționale în cazul în care platforma permite acest lucru."
"Error(s) when generate AWB: ","Eroare(i) la generare AWB: "
"Print FanCourier AWB","Printare AWB FanCourier"
"Client ID", "ID Client"
"Bank Name","Nume Bancă"
"Required if Cash on Delivery is set to Bank Account", "Necesar daca Rambursul este in Contul Bancar"
"Use ePOD Option","Utilizare opțiune ePOD"
"Fan Courier: Username, password and client id are required.","Fan Courier: Numele de utilizator, parola și id de client sunt obligatorii."
"Service was not set.","Serviciul nu a fost setat."
"Fan Courier: Cannot get Services.","Fan Courier: Serviciile nu pot fi preluate."
"Error: ","Eroare: "
"If enabled, the old AWBs in standard format cannot be printed anymore","Daca optiunea este activata, AWB-urile vechi in format standard nu mai pot fi printate"
"Total Packages Weight","Greutatea Totală a Coletelor"
"Default Package Weight","Greutate Implicită Colet"
"Will be used by default to request dynamic shipping price and services from Fan Courier platform.","Va fi folosit implicit pentru a cere prețul dinamic al transportului și serviciile de la platforma Fan Curier."
"Enable Multiple Client IDs","Activați ID Client Multiplu"
"Multiple Client IDs","ID Client Multiplu"
"Enable multiple pickup locations.","Activați locații ridicare colet multiple."
"Add multiple client IDs for every pickup location separated by comma including default client ID.","Adaugați ID-uri client pentru fiecare punct de ridicare colet separate de virgulă inclusiv ID-ul de client implicit."
