"blugento","blugento"
"blugento_url","https://www.blugento.ro"
"Accepted payment options","Metode acceptate de plată"
"Subscribe to our","Înscrieţi-vă la"
"New collections","Colecţii noi"
"Stability running shoes","Promoţii"
"New!","Nou!"
"Sale!","Promo!"
"Manufacturer","Producător"
"Description","Descriere"
"Information","Informaţii"
"View","Compară"
"Area of Activity","Domeniu de activitate"
"View Cart","Vezi Coş"
"View  Cart","Vezi Cos"
"Check other Products","Vezi si alte produse"
"Powered by","Powered by"
"View Details","Detalii"
"Delivery Time","Timp de livrare"
"You may also be interested:","Vă recomandăm:"
"Rate this product","Evaluaţi acest produs"
"Your thoughts","Părerea dumneavoastră"
"Review summary","Subiect recenzie"
"Your nickname","Numele dumneavoastră"
"Homepage","Pagina Principală"
"Shipping & Tax","Livrare & Taxe"
"Similar Products","Clienţii au achiziţionat şi"
"Excluding tax","Fără TVA"
"Including tax","TVA inclus"
"Hour","Ora"
"Backorder","La comandă"
"Additional Info","Informaţii adiţionale"
"My Product Reviews","Recenziile mele"
"Recent Posts","Postări recente"
"Post Comments","Comentarii"
"Your comment has been submitted.","Comentariul tău a fost postat."
"Your comment has been submitted and is awaiting approval.","Comentariul tău a fost trimis şi urmează să fie aprobat."
"posted on","postat în"
"Add comments","Adaugă comentarii"
"Please, enter your comments...","Vă rog, adăugaţi comentarii..."

