"Enter Facebook Title","Facebook Nutzer- bzw. Seitenname eingeben"
"Enter Facebook URL like https://www.facebook.com","Facebook URL eingeben, wie https://www.facebook.com/name/"
"Enter Flickr Title","Flickr Nutzername eingeben"
"Enter Flickr URL like https://www.flickr.com","Flickr URL eingeben, wie https://www.flickr.com/name/"
"Enter Google+ Title","Google+ Seitenname eingeben"
"Enter Google+ URL like https://www.plus.google.com","Google+ URL eingeben, wie https://www.plus.google.com/name/"
"Enter Instagram Title","Instagram Nutzername eingeben"
"Enter Instagram URL like https://www.instagram.com","Instagram URL eingeben, wie https://www.instagram.com/name/"
"Enter LinkedIn Title","LinkedIn Nutzername eingeben"
"Enter LinkedIn URL like https://www.linkedin.com","LinkedIn URL eingeben, wie https://www.linkedin.com/name/"
"Enter Pinterest Title","Pinterest Nutzername eingeben"
"Enter Pinterest URL like https://www.pinterest.com","Pinterest URL eingeben, wie https://www.pinterest.com/name/"
"Enter Twitter Title","Twitter Nutzername eingeben"
"Enter Twitter URL like https://www.twitter.com","Twitter URL eingeben, wie https://www.twitter.com/name/"
"Enter TikTok Title","TikTok Nutzer- bzw. Seitenname eingeben"
"Enter TikTok URL like https://www.tiktok.com","TikTok URL eingeben, wie https://www.tiktok.com/name/"
"Enter YouTube Title","YouTube Nutzername eingeben"
"Enter YouTube URL like https://www.youtube.com","YouTube URL eingeben, wie https://www.youtube.com/name/"
"Facebook Media Buttons Settings","Facebook Button Einstellungen"
"Facebook Title","Facebook Nutzer- bzw. Seitenname"
"Flickr Media Buttons Settings","Flickr Button Einstellungen"
"Flickr Title","Flickr Nutzername"
"Google+ Media Buttons Settings","Google+ Button Einstellungen"
"Google+ Title","Google+ Seitenname"
"Instagram Media Buttons Settings","Instagram Button Einstellungen"
"Instagram Title","Instagram Nutzername"
"LinkedIn Media Buttons Settings","Linkedin Button Einstellungen"
"LinkedIn Title","LinkedIn Nutzername"
"Pinterest Media Buttons Settings","Pinterest Button Einstellungen"
"Pinterest Title","Pinterest Nutzername"
"Twitter Media Buttons Settings","Twitter Button Einstellungen"
"Twitter Title","Twitter Nutzername"
"TikTok Media Buttons Settings","TikTok Button Einstellungen"
"TikTok Title","TikTok Nutzer- bzw. Seitenname"
"YouTube Media Buttons Settings","YouTube Button Einstellungen"
"YouTube Title","YouTube Nutzername"
"Share link","Produkt empfehlen"
"Enable Page Share","Empfehlen/Teilen Funktion"
