"Enable AjaxCart","Activare AjaxCart"
"View cart & checkout","Finalizează comanda"
"View cart  &  checkout","Finalizeaza comanda"
"Continue shopping","Continuă cumpărăturile"
"Continue  shopping","Continua cumparaturile"
"Please specify the product's option(s).","Va rugam sa specificati optiunile produsului."
"View cart & checkout redirect to","După apăsarea butonului Finalizare Comandă redirecționați la"
"Cart Page","Coș Cumpărături"
"Checkout Page","Finalizare Comandă"
"Enable Cart Item Delete Confirmation","Activati confirmare stergere element din cart"
"Enable to show simple product image instead of parent for configurable products","Permiteti afisarea unei imagini simple a produsului in locul parintelui pentru produsele configurabile"
"The product has been added to your shopping cart","Produsul a fost adăugat în coșul de cumpărături"
"Are you sure you would like to remove this item from the shopping cart?","Ești sigur că vrei să ștergi produsul din coș?"
"Enable Related Products Slider","Activati slider cu produse incrucisate"
"Enable Upsell Products Slider","Activati slider cu produse imbunatatite"
