"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Prin crearea unui cont in cadrul magazinului, veti putea parcurge mai rapid procesul de finalizare a comenzilor, veti avea posibilitatea de a stoca mai multe adrese de expediere, de a vedea si urmari comenzile si multe altele."
"Please enter a valid company registration number.","Vă rugăm să introduceți un număr de înregistrare valid al companiei."
"Show Registration Number","Numărul de înregistrare în Registrul Comerțului in formularul de inregistrare client"
"Registration Number","Număr de înregistrare în Registrul Comerțului"
"Add Registration Number validation","Adaugă validare pentru numărul de înregistrare în Registrul Comerțului"
"Show Company","Companie in formularul de inregistrare client"
"Show Street","Adresa stradala in formularul de inregistrare client"
"Show City","Localitate in formularul de inregistrare client"
"Show Phone","Nr telefon in formularul de inregistrare client"
"Show Address Fields","Arata campurile de adresa in formularul de inregistrare client"
