"Attribute list","Listă atribute"
"Add Pagination to Page Title","Adaugă paginaţie în Page Title"
"Add Pagination to Page Description","Adaugă paginaţie la descrierea paginii"
"Enable SEO pagination","Activează paginaţie SEO"
"Force Canonical Link Meta Tag For Filterable Attributes","Foloseşte meta-tag Cannonical Link pentru atributele filtrabile"
"Remove Canonical Link Meta Tag For Filterable Attributes","Şterge meta-tag Cannonical Link pentru atributele filtrabile"
"SEO Enhancements","SEO Enhancements"
"Simplify Category Page Title","Simplifică Page Title pe pagina de categorie"
"Simplify Product Page Title","Simplifică Page Title pe pagina de produs"
"Use Canonical Link Meta Tag For Attributes","Utilizare meta-tag Cannonical Link pentru atribute"
"Add noindex to filters in general","Adauga atribut noindex pe paginile cu filtre in general"
"Remove Parent Category Path for Category URLs","Şterge calea categoriei părinte din URL-ul de categorie"
"If enabled removes all parent categories from the URL path, so that /clothing/shoes becomes /shoes. (*Note: URL reindexing is necessary!)","Dacă este activat toţi părinţii categoriei se vor şterge din URL, astfel încât /haine/pantofi devine /pantofi. (*Nota: Reindexare de URL-uri necesara!)"
"Include Canonical Link on Review Page","Adăugare Link Canonical pe Pagina de Recenzii"
"Include Canonical Link on Category Page","Adăugare Link Canonical pe Pagina de Categorie"
"If enabled, the canonical link apears twice on category filter page. You should disable the other option from Sys - Config - Catalog - Search Engine Optimisations - Use Canonical Link Meta Tag For Categories","Daca e activata optiunea, link-ul canonical va aparea de doua ori pe pagina de categorie cu vreun filtru activat. E nevoie sa se dezactiveze cealalta optiune din Sys - Config - Catalog - Optimizari Motoare Cautare  - Utilizare Meta Eticheta Legatura Canonica Pentru Categorii"
"Only if pagination is present","Doar dacă este prezentă paginarea"
"Only if multiple filters are selected is present","Numai dacă sunt selectate mai multe filtre"
"Add nofollow to filters link","Adauga atribut noindex pe linkurile din filtre"
"Add noindex to filters and pagination","Adauga noindex pe filtre si paginatie (dacau sunt prezente impreuna)"
"Add noindex to multiple filters","Adauga noindex pe filtre multiple"
"Add noindex to pagination","Adauga noindex pe paginatie"
"Add noindex to facebook links","Adauga noindex pe linkurile generate de facebook"
