"blugento","BLUGENTO"
"blugento_url","https://www.zentoshop.com"
"Accepted payment options","Akzeptierte Zahlungsmöglichkeiten"
"Subscribe to our","Abonnieren Sie unseren"
"New collections","Neue Kollektionen"
"Stability running shoes","Stabilität Laufschuhe"
"New!","Neu!"
"Sale!","Verkauf!"
"Manufacturer","Hersteller"
"Description","Beschreibung"
"Information","Informationen"
"View","Anzeigen"
"Area of Activity","Tätigkeitsbereich"
"View Cart","zum Warenkorb"
"Powered by","Powered by"
"View Details","Details anzeigen"
"Delivery Time","Lieferzeit"
"You may also be interested:","Das könnte Sie auch interessieren:"
"Rate this product","Bewerten Sie diesen Artikel"
"Your thoughts","Ihre komplette Artikelbewertung"
"Review summary","Zusammenfassung Ihrer Bewertung"
"Your nickname","Ihr Nutzername"
"Homepage","Startseiten"
"Shipping & Tax","Versand & Steuer"
"Similar Products","Ähnliche Artikel"
"Excluding tax","Zuzüglich Steuern"
"Including tax","Inklusive Steuern"
"Hour","Stunde"
"Mage_Sales::Grand Total","Gesamtsumme"
"Backorder","Nachbestellung"
"Additional Info","Zusätzliche Information"
"Check other Products","Überprüfen Sie andere Produkte"
