'Installed','Instalat'
'My extensions updates','Actualizari extensii'
'Save and Continue Edit','Salvare si continuare editare'
'Days','Zile'
'General','General'
'ID','ID'
'Yes','Yes'
'Rules','Reguli'
'Queue','Lista'
'Conditions','Conditii'
'Run','Rulare'
'Apply In','Aplica in'
'Rule Configuration','Configuratie Regula'
'History','Istoric'
'Rule has been successfully deleted','Regula a fost ștearsă cu succes'
'If there are no emails in the queue for a long time, please make sure that the <a href="http://support.amasty.com/index.php?/Knowledgebase/Article/View/72/24/magento-cron">cron job</a> is configured on the server.','Dacă nu există e-mailuri în coadă pentru o lungă perioadă de timp, vă rugăm să vă asigurați că <a href="http://support.amasty.com/index.php?/Knowledgebase/Article/View/72/24/magento-cron">cron job-ul</a> este configurat pe server.'
'You have been unsubscribed','Ai fost dezabonat'
'Invalid transactional email code: ','Cod de e-mail tranzacțional nevalid: '
'Number of recovered cards this month','Număr de carduri recuperate în această lună'
'NOT LOGGED IN','Clienti Nelogati'
'Email Preview','Previzualizare Email'
'Schedule','Program'
'Price:','Pret:'
"Discount Price","Pret cu reducere"
