"Cart Settings","Configurare coș cumpărături"
"Blugento Cart Settings","Configurare coș cumpărături"
"Enable Cart Settings","Activ"
"Hide Add to cart button for all products","Ascunde buton Adaugă în coș pentru toate produsele"
"Display custom Add to cart button for out of stock products","Afișează buton personalizat pentru produsele cu stoc epuizat"
"Display custom Add to cart button","Afișează buton personalizat"
"Display custom text for out of stock products","Afișează text personalizat in loc de pret"
"Display custom Add to cart button","Afișează text personalizat pentru produsele cu stoc epuizat"
"Custom button text","Text buton personalizat"
"Custom inquiry page","Pagina buton personalizat"
"Send Emails to","Trimite e-mail către"
"Enable Logs","Salvează email-uri în fișier"
"Display custom Add to Cart button", "Afișare buton personalizat Adaugă în coș"
"Date for reservations","In ce data doriti sa va rezervam aparatul?"
"Number of people","Aproximativ cate persoane vor fi prezente la evenimentul dumneavoastra?"
"Number of hours","Pentru cate ore doriti sa inchiriati aparatul?"
"County","Judeţ"
"Address","Adresă"
"City","Localitate"
"Locality","Localitate"
"Purchase Type","Tip Comandă"
"Personal Purchase","Persoană fizică"
"Company Purchase","Persoană juridică"
"Company Name","Denumire Firmă"
"Company Registration Number","Nr Reg com"
"VAT Number","COD TVA"
"Headquarter","Sediu Social"
"Custom inquiry success page","Pagina succes buton personalizat"
"Affiliation code for GA Script","Cod de afiliere pentru Script-ul GA"
"Used only if GA Ecommerce Tracking is enabled","Utilizati doar daca este activata urmarirea comertului electronic din GA"
"Will be displayed on thank you page. Use placeholders for variables: {{productSKU}}, {{productName}}, {{productPrice}}, {{name}}, {{email}}, {{telephone}}, {{address}}, {{county}}, {{locality}}, {{company}}, {{regNr}}, {{vat}}, {{headquarter}}","Va fi afisat pe pagina de multumire. Utilizati substituentii pentru variabile: {{productSKU}}, {{productName}}, {{productPrice}}, {{name}}, {{email}}, {{telephone}}, {{address}}, {{county}}, {{locality}}, {{company}}, {{regNr}}, {{vat}}, {{headquarter}}"
"This option allow to display shipping price in cart.","Această opțiune permite afișarea costului de transport pe pagina coșului de cumpărături."
"Shipping Method","Metoda de Livrare"
"Choose the shipping methods from which to display the lowest price in cart.","Alegeți metodele de livrare dintre care se va afișa cel mai mic preț în coșul de cumpărături."
"Shipping Price on Cart Page","Preț Transport în Coș"
"Hide Price if Custom Add to Cart Module enabled","Ascundere preț"
"Hide price if custom Add to Cart Module Enabled","Ascundere preț dacă modulul de Configurare coș cumpărături este activ"
"Redirect to product page","Redirecționează către pagina produsului"
"Custom button text for category/widget","Text buton personalizat pentru pagina de categorie și widget-uri de produse"
"Available Attributes","Atribute disponibile"
"Your file","Fisierul tau"
"Remove Cash On Delivery for Virtual Products","Nu afisa Plata Ramburs pentru produse virtuale"
