"Enter Facebook Title","Enter Facebook Title"
"Enter Facebook URL like https://www.facebook.com","Enter Facebook URL like https://www.facebook.com"
"Enter Flickr Title","Enter Flickr Title"
"Enter Flickr URL like https://www.flickr.com","Enter Flickr URL like https://www.flickr.com"
"Enter Google+ Title","Enter Google+ Title"
"Enter Google+ URL like https://www.plus.google.com","Enter Google+ URL like https://www.plus.google.com"
"Enter Instagram Title","Enter Instagram Title"
"Enter Instagram URL like https://www.instagram.com","Enter Instagram URL like https://www.instagram.com"
"Enter LinkedIn Title","Enter LinkedIn Title"
"Enter LinkedIn URL like https://www.linkedin.com","Enter LinkedIn URL like https://www.linkedin.com"
"Enter Pinterest Title","Enter Pinterest Title"
"Enter Pinterest URL like https://www.pinterest.com","Enter Pinterest URL like https://www.pinterest.com"
"Enter Twitter Title","Enter Twitter Title"
"Enter Twitter URL like https://www.twitter.com","Enter Twitter URL like https://www.twitter.com"
"Enter TikTok Title","Enter TikTok Title"
"Enter TikTok URL like https://www.tiktok.com","Enter XinTikTokg URL like https://www.tiktok.com"
"Enter YouTube Title","Enter YouTube Title"
"Enter YouTube URL like https://www.youtube.com","Enter YouTube URL like https://www.youtube.com"
"Facebook Media Buttons Settings","Facebook Media Buttons Settings"
"Facebook Title","Facebook Title"
"Flickr Media Buttons Settings","Flickr Media Buttons Settings"
"Flickr Title","Flickr Title"
"Google+ Media Buttons Settings","Google+ Media Buttons Settings"
"Google+ Title","Google+ Title"
"Instagram Media Buttons Settings","Instagram Media Buttons Settings"
"Instagram Title","Instagram Title"
"LinkedIn Media Buttons Settings","LinkedIn Media Buttons Settings"
"LinkedIn Title","LinkedIn Title"
"Pinterest Media Buttons Settings","Pinterest Media Buttons Settings"
"Pinterest Title","Pinterest Title"
"Twitter Media Buttons Settings","Twitter Media Buttons Settings"
"Twitter Title","Twitter Title"
"TikTok Media Buttons Settings","TikTok Media Buttons Settings"
"TikTok Title","TikTok Title"
"YouTube Media Buttons Settings","YouTube Media Buttons Settings"
"YouTube Title","YouTube Title"
"Share link","Share link"
"Enable Page Share","Enable Page Share"
