"GDPR User Data","Datele Utilizatorilor GDPR"
"Recaptcha Key","Cheie Recaptcha"
"GDPR Log", "Loguri GDPR"
"Request ID","ID-ul cererii"
"Customer Email", "Email client"
"Created Date", "Data crearii"
"Deletion Confirm", "Confirmare Stergere"
"Type","Tipul"
"Export My Data","Export Date"
"Submit Request","Confirmare Cerere"
"Delete My Data", "Stergere Date"
"This is a required field.","Acesta este un camp obligatoriu."
"Please Fill Recaptcha To Continue", "Bifeaza pentru a continua"
"Required Fields","Campuri obligatorii"
"If data exists, an email will be sent as soon as possible with more details!","Dacă există date veți primi un email cu mai multe informații în cel mai scurt timp posibil!"
"You already sent a request in the last 24 hours!","Ai trimis deja o cerere in ultimele 24 de ore!"
"If you reject the deletion you must wrote a message to the customer!","Daca refuzi stergerea va trebui sa ii trimiti un mesaj clientului!"
"You have to approve/reject the deletion request!","Trebuie să aprobați/respingeți solicitarea de ștergere!"
"You cannot modify a request with status: ","Nu puteți modifica o solicitare cu statusul: "
"This link is expired! Please make another request!","Acest link a expirat! Vă rugăm să faceți o altă solicitare!"
"The request was already sent and is being processed!","Solicitarea a fost deja trimisă și este procesată!"
"The request was successfuly updated!","Solicitarea a fost actualizată cu succes!"
"Pending","In aşteptare"
"Approved","Aprobat"
"Rejected","Respins"
"Processed","Procesat"
"No data available","Nici o informație disponibilă"
"Account exists rejection","Refuz cont existent"
"Completed","Complet"
"Deleted","Șters"
"Export","Exportă"
"Delete","Șterge"
"The email cannot be sent for export request with id ","E-mailul nu poate fi trimis pentru solicitarea de export cu id "
"The email cannot be sent for delete request with id ","E-mailul nu poate fi trimis pentru cererea de ștergere cu id "
"This message will be sent to the customer email if you do not approve the deletion request.","Acest mesaj va fi trimis clientului dacă nu aprobați solicitarea de ștergere."
"Rejection Message","Mesaj de refuz"
"Request Details", "Detalii solictiare"
"Save","Salvare"
"Request ID: ","ID Cerere: "
"GDPR Request","Cerere GDPR"
"The request was updated and an email will be sent to customer!","Solicitarea a fost actualizată și un e-mail va fi trimis clientului!"
"The request was successfuly updated!","Solicitarea a fost actualizată cu succes!"
"You have to approve/not approve the deletion request!","Trebuie să aprobați / nu aprobați solicitarea de ștergere!"
"The email for reject deletion for request with id ","Email-ul cu refuzul solicitarii de ştergere cu id-ul "
" cannot be sent!"," nu poate fi trimis!"
"The request was already sent and is being processed!","Solicitarea a fost deja trimisă și este procesată!"
"After the request is made and if there is data to export","După ce este creată solicitarea și numai în cazul în care există date pentru export"
"After the request is made and if there is data to delete","După ce este creată solicitarea și numai în cazul în care există date pentru ștergere"
"After the email with download link is sent","După ce link-ul de descărcare este trimis pe email"
"After the store owner accept/reject the delete request","După ce administratorul acceptă/respinge solicitarea de ștergere"
"After the request is made and if there is no data to export","După ce este creată solicitarea şi în cazul în care nu există date pentru export"
"After the request is made and if there is no data to delete","După ce este creată solicitarea şi în cazul în care nu există date pentru ștergere"
"After a delete request is made but there is an account created with this email","După ce este creată o solicitare pentru ștergerea datelor dar există un cont creat pentru acest email"
"After the download link is accessed and the data is downloaded","După ce este accesat link-ul de descărcare"
"After the data is deleted and a confirmation email was send to the customer","După ce datele sunt șterse și un email de confirmare este trimis clientului"
"The export requests with status ""processed"" older than 24 hours","Solicitările pentru exportul datelor cu statusul ""procesat"", mai vechi de 24 de ore"
"The delete requests with status ""processed"" older than 24 hours","Solicitările pentru ștergerea datelor cu statusul ""procesat"", mai vechi de 24 de ore"
